voxel_bin,n,mean_effective_voxels,median_effective_voxels,mean_BAG,std_BAG,mean_abs_BAG,std_abs_BAG,mean_delta_BAG_from_baseline,mean_delta_abs_BAG_from_baseline
"(139.483, 1115.875]",401,466.15321072319205,437.171875,2.7896217221849557,4.097659910808103,4.111373448051672,2.7652506147715754,0.012754019950124635,-0.013086820447170987
"(1115.875, 1712.625]",375,1340.70625,1291.359375,2.6659922679425057,4.06915828100203,4.0100227483477076,2.749780007365195,-0.07631698933333333,-0.04878587461556014
"(1712.625, 4997.625]",375,3550.384375,3766.078125,2.680125083942506,4.106401804188841,4.037574171237965,2.7783482280614846,-0.05582529866666647,-0.06314798698790773
"(4997.625, 10905.0]",375,8775.396875,9581.25,2.7423913399425057,4.084657649018481,4.0524740548428015,2.7854605913852093,-0.035481520000000134,-0.06448776587725313
"(10905.0, 17022.375]",400,13709.7578125,13263.1171875,2.633185148109172,4.107343833823663,4.002325691791581,2.7861366010612914,-0.058166022499999886,-0.029878315795687824
"(17022.375, 32336.719]",375,25120.4375,27206.0,2.6816136919425055,4.144745569175261,4.048420515331053,2.82057863183281,-0.09221958133333344,-0.09603982329728517
"(32336.719, 42361.0]",375,36732.534375,36804.375,2.6305242519425054,4.115532493434361,3.999490445176364,2.799477385630477,-0.15323098133333327,-0.0807131255742642
"(42361.0, 145807.156]",375,64512.82604166667,57450.515625,2.449418545275839,4.401629949098361,4.068901547296373,2.9647617430593267,-0.25086412533333335,0.030661921177275862
