voxel_bin,n,mean_effective_voxels,median_effective_voxels,mean_scaled_BAG,mean_scaled_abs_BAG,mean_healthy_BAG,mean_healthy_abs_BAG,mean_delta_BAG_vs_healthy,std_delta_BAG_vs_healthy,mean_delta_abs_BAG_vs_healthy,std_delta_abs_BAG_vs_healthy
"(139.483, 1115.875]",1604,466.15321072319205,437.171875,2.7896217221849557,4.111373448051672,4.741093749269431,9.016507400339565,-1.9514720270844756,11.754614792318186,-4.905133952287894,9.274815350406953
"(1115.875, 1712.625]",1500,1340.70625,1291.359375,2.6659922679425057,4.0100227483477076,4.726891370922293,9.012993556120103,-2.060899102979788,11.715089387480331,-5.002970807772395,9.239770073573444
"(1712.625, 4997.625]",1500,3550.384375,3766.078125,2.680125083942506,4.037574171237965,4.726891370922293,9.012993556120103,-2.0467662869797874,11.729224113694356,-4.975419384882137,9.277626832336537
"(4997.625, 10905.0]",1500,8775.396875,9581.25,2.7423913399425057,4.0524740548428015,4.726891370922293,9.012993556120103,-1.9845000309797878,11.729867479480557,-4.960519501277301,9.258118438464878
"(10905.0, 17022.375]",1600,13709.7578125,13263.1171875,2.633185148109172,4.002325691791581,4.726891370922293,9.012993556120103,-2.093706222813121,11.738221107529181,-5.010667864328521,9.27589001453317
"(17022.375, 32336.719]",1500,25120.4375,27206.0,2.6816136919425055,4.048420515331053,4.726891370922293,9.012993556120103,-2.045277678979788,11.746159511408226,-4.964573040789051,9.260920274548191
"(32336.719, 42361.0]",1500,36732.534375,36804.375,2.6305242519425054,3.999490445176364,4.726891370922293,9.012993556120103,-2.0963671189797877,11.71149465883849,-5.01350311094374,9.25706074825359
"(42361.0, 145807.156]",1500,64512.82604166667,57450.515625,2.449418545275839,4.068901547296373,4.726891370922293,9.012993556120103,-2.2774728256464543,11.74753980244276,-4.944092008823731,9.309664482384365
