analysis,experiment,model,generator,inpainter,bag_version,n,mean_BAG_healthy,mean_BAG_synthetic,mean_delta_BAG,median_delta_BAG,mean_abs_delta_BAG,median_abs_delta_BAG,count_synth_bag_higher,count_baseline_bag_higher,count_equal_bag,age_correction_alpha,age_correction_beta,mean_BAG_tumor,mean_BAG_inpaint,mean_Delta_BAG_tumor,mean_Delta_BAG_inpaint,mean_abs_Delta_BAG_tumor,mean_abs_Delta_BAG_inpaint,mean_recovery,median_recovery,mean_percent_recovery,proportion_inpaint_closer,count_inpaint_closer
exp0_raw_BAG,exp0,BNX,CM,,raw,520,-0.6798504139936538,-0.5036970274375001,0.1761533865561539,0.07983399000000002,1.5260770092492306,1.1227666099999998,270.0,250.0,0.0,,,,,,,,,,,,,
exp1_raw_BAG,exp1,BNX,CM,BID,raw,520,-0.6798504139936538,,,,,,,,,,,-0.5036970274375001,-0.6805322087326923,0.1761533865561539,-0.000681794739038384,1.5260770092492306,5.6949199633878855,-4.168842954138654,-3.53109345,-17454.59738361786,0.15,78.0
exp1_raw_BAG,exp1,BNX,CM,LIT,raw,520,-0.6798504139936538,,,,,,,,,,,-0.5036970274375001,-1.609096970923077,0.1761533865561539,-0.929246556929423,1.5260770092492306,2.5035740369155772,-0.9774970276663462,-0.36014369999999984,-2094.062160079075,0.4153846153846154,216.0
exp1_raw_BAG,exp1,BNX,CM,USB,raw,520,-0.6798504139936538,,,,,,,,,,,-0.5036970274375001,-6.124825154884615,0.1761533865561539,-5.444974740890961,1.5260770092492306,12.15601652999096,-10.62993952074173,-10.46793165,-21928.86209030003,0.051923076923076926,27.0
exp0_raw_BAG,exp0,BNX,GLI,,raw,521,-0.6653594573449136,1.0068890907447219,1.6722485480896352,1.7006226,2.260387160521881,1.94304653,404.0,117.0,0.0,,,,,,,,,,,,,
exp1_raw_BAG,exp1,BNX,GLI,BID,raw,521,-0.6653594573449136,,,,,,,,,,,1.0068890907447219,1.651719876627639,1.6722485480896352,2.317079333972553,2.260387160521881,4.923187009406718,-2.662799848884837,-1.786213,-2198.5727249785527,0.29942418426103645,156.0
exp1_raw_BAG,exp1,BNX,GLI,LIT,raw,521,-0.6653594573449136,,,,,,,,,,,1.0068890907447219,0.3779190205607946,1.6722485480896352,1.0432784779057083,2.260387160521881,1.9507215648396816,0.3096655956821996,0.25283054000000005,-680.655844420667,0.6084452975047985,317.0
exp1_raw_BAG,exp1,BNX,GLI,USB,raw,521,-0.6653594573449136,,,,,,,,,,,1.0068890907447219,-7.961448241644914,1.6722485480896352,-7.296088784300001,2.260387160521881,12.617476976530325,-10.357089816008447,-9.4180486,-7699.199717032068,0.09213051823416507,48.0
exp0_raw_BAG,exp0,BNX,USB,,raw,521,-0.6653594573449136,-5.567232009481765,-4.901872552136852,-6.0807421999999995,12.166818709127256,11.692550500000001,197.0,324.0,0.0,,,,,,,,,,,,,
exp0_raw_BAG,exp0,JOOS,CM,,raw,521,-3.856797019452207,-1.6495469919117083,2.2072500275404994,0.9984816999999999,2.941454183363916,1.415283164,379.0,142.0,0.0,,,,,,,,,,,,,
exp1_raw_BAG,exp1,JOOS,CM,BID,raw,521,-3.856797019452207,,,,,,,,,,,-1.6495469919117083,2.786248025708254,2.2072500275404994,6.643045045160461,2.941454183363916,7.38938272635048,-4.447928542986564,-3.27607725,-1418.8876475386842,0.14971209213051823,78.0
exp1_raw_BAG,exp1,JOOS,CM,LIT,raw,521,-3.856797019452207,,,,,,,,,,,-1.6495469919117083,-0.6367788067658349,2.2072500275404994,3.220018212686372,2.941454183363916,4.306077994365451,-1.3646238110015358,-0.1401590000000006,-293.69085773919073,0.4472168905950096,233.0
exp1_raw_BAG,exp1,JOOS,CM,USB,raw,521,-3.856797019452207,,,,,,,,,,,-1.6495469919117083,18.0798433677524,2.2072500275404994,21.936640387204605,2.941454183363916,22.56479892310096,-19.623344739737046,-19.4358483,-8226.113570166748,0.04798464491362764,25.0
exp0_raw_BAG,exp0,JOOS,GLI,,raw,521,-3.856797019452207,-3.0857302041631476,0.7710668152890595,0.5626831000000001,1.4571388134464491,1.0342711999999996,346.0,175.0,0.0,,,,,,,,,,,,,
exp1_raw_BAG,exp1,JOOS,GLI,BID,raw,521,-3.856797019452207,,,,,,,,,,,-3.0857302041631476,1.0644060976103646,0.7710668152890595,4.921203117062572,1.4571388134464491,5.5461581784445295,-4.089019364998081,-3.7292328999999995,-2450.3674190416923,0.1343570057581574,70.0
exp1_raw_BAG,exp1,JOOS,GLI,LIT,raw,521,-3.856797019452207,,,,,,,,,,,-3.0857302041631476,-5.1326966562719765,0.7710668152890595,-1.2758996368197697,1.4571388134464491,1.869593862053167,-0.41245504860671783,-0.1750790000000002,-598.1125136384043,0.44529750479846447,232.0
exp1_raw_BAG,exp1,JOOS,GLI,USB,raw,521,-3.856797019452207,,,,,,,,,,,-3.0857302041631476,18.068347098032632,0.7710668152890595,21.92514411748484,1.4571388134464491,22.523677908621114,-21.06653909517466,-20.8117145,-11223.904812129282,0.0345489443378119,18.0
exp0_raw_BAG,exp0,JOOS,USB,,raw,521,-3.856797019452207,18.11981082961037,21.976607849062574,22.7533604,22.758419285991558,22.882649,479.0,42.0,0.0,,,,,,,,,,,,,
