label,n,age_mean,age_std,predicted_brain_age_mean,predicted_brain_age_std,BAG_mean,BAG_std,BAG_median,mean_absolute_BAG,MAE,RMSE,corr_age_vs_pred,corr_age_vs_BAG
BNX_healthy,521,50.716867604419974,15.341179759590336,50.05150823224567,15.425480549561295,-0.6653594573449136,3.6691560796624585,-0.5412979,2.942556100099616,2.942556100099616,3.7289957822988082,0.9715700839377077,-0.0965465652907678
BNX_CM_exp0,520,50.69822566208603,15.350027265619822,50.19452871346153,14.986419360216855,-0.5036970274375001,4.27709170132095,-0.42350005999999996,3.3980035957932695,3.3980035957932695,4.30664882675125,0.9605261099424572,-0.22332470807130864
BNX_CM_BID_exp1,521,50.716867604419974,15.341179759590336,50.020402882917466,12.314761899826944,-0.69646485612476,7.8669054247294765,-0.5590973,6.107943478197696,6.107943478197696,7.897674610760749,0.8604484349021945,-0.6031548664415313
BNX_CM_LIT_exp1,521,50.716867604419974,15.341179759590336,49.08357576391555,14.180499349577126,-1.633291969059501,5.1243599788132395,-1.2136574,3.9944601842264875,3.9944601842264875,5.378355496678988,0.9427433016720399,-0.3849474259385906
BNX_CM_USB_exp1,521,50.716867604419974,15.341179759590336,44.58099310556622,5.04129679816406,-6.135874603723608,13.052438619812943,-7.507683,12.281178048023033,12.281178048023033,14.42272897466373,0.5844386743564192,-0.9496195639751186
BNX_GLI_exp0,521,50.716867604419974,15.341179759590336,51.72375685796545,15.87458456765649,1.0068890907447219,3.838835232614446,1.1901169,3.137757341980806,3.137757341980806,3.9686876400420754,0.9703284051500599,0.01624982440956381
BNX_GLI_BID_exp1,521,50.716867604419974,15.341179759590336,52.36858749712092,12.62363825350756,1.651719876627639,6.734799814980968,1.8088989,5.49417346718426,5.49417346718426,6.934385848704591,0.9019616826272517,-0.5872693861170662
BNX_GLI_LIT_exp1,521,50.716867604419974,15.341179759590336,51.094786646833015,15.85985774518475,0.3779190205607946,3.773642249185074,0.51081085,2.952119424448802,2.952119424448802,3.7925187686992685,0.9712888695466343,0.016780447116996354
BNX_GLI_USB_exp1,521,50.716867604419974,15.341179759590336,42.755419443378116,5.2372276145073196,-7.961448241644914,12.837719229565192,-8.463455,12.642040029322457,12.642040029322457,15.106015130455113,0.6097019872386074,-0.9462764801870643
BNX_USB_exp0,521,50.716867604419974,15.341179759590336,45.149635714011524,4.530914445083506,-5.567232009481765,13.249261211659485,-6.496811,12.143018133166988,12.143018133166988,14.371395022828608,0.5778920669269022,-0.9602648866601312
JOOS_healthy,521,50.716867604419974,15.341179759590336,46.86007065067179,14.15983500512771,-3.856797019452207,6.1037149587557025,-3.5277748,5.593968258028023,5.593968258028023,7.22012600630997,0.9174607678473383,-0.3850256442151151
JOOS_CM_exp0,521,50.716867604419974,15.341179759590336,49.06732077159309,13.996172655724415,-1.6495469919117083,7.664210823190996,-1.8703156,5.975133197700576,5.975133197700576,7.839715098193491,0.8674281255060822,-0.41759108460285976
JOOS_CM_BID_exp1,521,50.716867604419974,15.341179759590336,53.50311570057582,13.054167472280922,2.786248025708254,9.550664048532301,2.1529045,7.363656132625719,7.363656132625719,9.948786952623447,0.7853239780679732,-0.5328874630112966
JOOS_CM_LIT_exp1,521,50.716867604419974,15.341179759590336,50.08008881573896,14.364853234015662,-0.6367788067658349,9.806651896295433,-1.9486046,7.055392438973128,7.055392438973128,9.827304241950634,0.7839643174313295,-0.41600818325994837
JOOS_CM_USB_exp1,521,50.716867604419974,15.341179759590336,68.79671103838771,1.3052172711441141,18.0798433677524,15.536057041594743,16.7835,19.519029093990405,19.519029093990405,23.83799078366602,-0.10771492853558091,-0.996505821539481
JOOS_GLI_exp0,521,50.716867604419974,15.341179759590336,47.631137460652596,13.89665050807372,-3.0857302041631476,6.324632136892217,-2.740429,5.547075040424185,5.547075040424185,7.0372368554635525,0.9110790249373919,-0.42377690699389214
JOOS_GLI_BID_exp1,521,50.716867604419974,15.341179759590336,51.78127372360844,12.459763414926536,1.0644060976103646,7.202725647456587,1.2120018,5.794111357802303,5.794111357802303,7.280948914335208,0.8860128932049736,-0.5972279189378947
JOOS_GLI_LIT_exp1,521,50.716867604419974,15.341179759590336,45.58417104798465,13.626049524680601,-5.1326966562719765,6.47583195245867,-4.686697,6.5153099675579655,6.5153099675579655,8.263230266777647,0.9067288861399067,-0.46110634820911506
JOOS_GLI_USB_exp1,521,50.716867604419974,15.341179759590336,68.78521484644914,1.3278950300899162,18.068347098032632,15.561889081871444,16.251297,19.499039669591173,19.499039669591173,23.84612250768359,-0.12412668865018044,-0.9964090450023625
JOOS_USB_exp0,521,50.716867604419974,15.341179759590336,68.83667849999999,3.3379062115968745,18.11981082961037,15.91820101415758,17.237343,19.725625240090213,19.725625240090213,24.1188032047196,-0.0673311066788274,-0.9778695984083646
